id,font_name,family_name,foundry,country,style,weight,optical_size,width,google_equivalent,serif_angle,contrast,x_height_ratio,stroke_width,geometric_index
1,Helvetica Now Text Thin,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Thin 100,Text,Normal,Inter,0.0,0.15,0.58,0.15,0.72
2,Helvetica Now Text Thin Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Thin 100,Text,Normal,Inter,0.0,0.15,0.58,0.15,0.72
3,Helvetica Now Text Condensed Thin,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Thin 100,Text,Condensed,Inter,0.0,0.15,0.58,0.15,0.45
4,Helvetica Now Text Condensed Thin Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Thin 100,Text,Condensed,Inter,0.0,0.15,0.58,0.15,0.45
5,Helvetica Now Text Expanded Thin,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Thin 100,Text,Expanded,Inter,0.0,0.15,0.58,0.15,0.72
6,Helvetica Now Text Expanded Thin Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Thin 100,Text,Expanded,Inter,0.0,0.15,0.58,0.15,0.72
7,Helvetica Now Text Light,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Light 300,Text,Normal,Inter,0.0,0.15,0.58,0.15,0.72
8,Helvetica Now Text Light Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Light 300,Text,Normal,Inter,0.0,0.15,0.58,0.15,0.72
9,Helvetica Now Text Condensed Light,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Light 300,Text,Condensed,Inter,0.0,0.15,0.58,0.15,0.45
10,Helvetica Now Text Condensed Light Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Light 300,Text,Condensed,Inter,0.0,0.15,0.58,0.15,0.45
11,Helvetica Now Text Expanded Light,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Light 300,Text,Expanded,Inter,0.0,0.15,0.58,0.15,0.72
12,Helvetica Now Text Expanded Light Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Light 300,Text,Expanded,Inter,0.0,0.15,0.58,0.15,0.72
13,Helvetica Now Text Regular,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Regular 400,Text,Normal,Inter,0.0,0.15,0.58,0.5,0.72
14,Helvetica Now Text Regular Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Regular 400,Text,Normal,Inter,0.0,0.15,0.58,0.5,0.72
15,Helvetica Now Text Condensed Regular,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Regular 400,Text,Condensed,Inter,0.0,0.15,0.58,0.5,0.45
16,Helvetica Now Text Condensed Regular Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Regular 400,Text,Condensed,Inter,0.0,0.15,0.58,0.5,0.45
17,Helvetica Now Text Expanded Regular,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Regular 400,Text,Expanded,Inter,0.0,0.15,0.58,0.5,0.72
18,Helvetica Now Text Expanded Regular Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Regular 400,Text,Expanded,Inter,0.0,0.15,0.58,0.5,0.72
19,Helvetica Now Text Medium,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Medium 500,Text,Normal,Inter,0.0,0.15,0.58,0.5,0.72
20,Helvetica Now Text Medium Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Medium 500,Text,Normal,Inter,0.0,0.15,0.58,0.5,0.72
21,Helvetica Now Text Condensed Medium,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Medium 500,Text,Condensed,Inter,0.0,0.15,0.58,0.5,0.45
22,Helvetica Now Text Condensed Medium Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Medium 500,Text,Condensed,Inter,0.0,0.15,0.58,0.5,0.45
23,Helvetica Now Text Expanded Medium,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Medium 500,Text,Expanded,Inter,0.0,0.15,0.58,0.5,0.72
24,Helvetica Now Text Expanded Medium Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Medium 500,Text,Expanded,Inter,0.0,0.15,0.58,0.5,0.72
25,Helvetica Now Text SemiBold,Helvetica Now,Monotype,Switzerland / USA,Grotesque,SemiBold 600,Text,Normal,Inter,0.0,0.15,0.58,0.85,0.72
26,Helvetica Now Text SemiBold Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,SemiBold 600,Text,Normal,Inter,0.0,0.15,0.58,0.85,0.72
27,Helvetica Now Text Condensed SemiBold,Helvetica Now,Monotype,Switzerland / USA,Grotesque,SemiBold 600,Text,Condensed,Inter,0.0,0.15,0.58,0.85,0.45
28,Helvetica Now Text Condensed SemiBold Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,SemiBold 600,Text,Condensed,Inter,0.0,0.15,0.58,0.85,0.45
29,Helvetica Now Text Expanded SemiBold,Helvetica Now,Monotype,Switzerland / USA,Grotesque,SemiBold 600,Text,Expanded,Inter,0.0,0.15,0.58,0.85,0.72
30,Helvetica Now Text Expanded SemiBold Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,SemiBold 600,Text,Expanded,Inter,0.0,0.15,0.58,0.85,0.72
31,Helvetica Now Text Bold,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Bold 700,Text,Normal,Inter,0.0,0.15,0.58,0.85,0.72
32,Helvetica Now Text Bold Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Bold 700,Text,Normal,Inter,0.0,0.15,0.58,0.85,0.72
33,Helvetica Now Text Condensed Bold,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Bold 700,Text,Condensed,Inter,0.0,0.15,0.58,0.85,0.45
34,Helvetica Now Text Condensed Bold Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Bold 700,Text,Condensed,Inter,0.0,0.15,0.58,0.85,0.45
35,Helvetica Now Text Expanded Bold,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Bold 700,Text,Expanded,Inter,0.0,0.15,0.58,0.85,0.72
36,Helvetica Now Text Expanded Bold Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Bold 700,Text,Expanded,Inter,0.0,0.15,0.58,0.85,0.72
37,Helvetica Now Text ExtraBold,Helvetica Now,Monotype,Switzerland / USA,Grotesque,ExtraBold 800,Text,Normal,Inter,0.0,0.15,0.58,0.85,0.72
38,Helvetica Now Text ExtraBold Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,ExtraBold 800,Text,Normal,Inter,0.0,0.15,0.58,0.85,0.72
39,Helvetica Now Text Condensed ExtraBold,Helvetica Now,Monotype,Switzerland / USA,Grotesque,ExtraBold 800,Text,Condensed,Inter,0.0,0.15,0.58,0.85,0.45
40,Helvetica Now Text Condensed ExtraBold Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,ExtraBold 800,Text,Condensed,Inter,0.0,0.15,0.58,0.85,0.45
41,Helvetica Now Text Expanded ExtraBold,Helvetica Now,Monotype,Switzerland / USA,Grotesque,ExtraBold 800,Text,Expanded,Inter,0.0,0.15,0.58,0.85,0.72
42,Helvetica Now Text Expanded ExtraBold Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,ExtraBold 800,Text,Expanded,Inter,0.0,0.15,0.58,0.85,0.72
43,Helvetica Now Text Black,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Black 900,Text,Normal,Inter,0.0,0.15,0.58,0.85,0.72
44,Helvetica Now Text Black Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Black 900,Text,Normal,Inter,0.0,0.15,0.58,0.85,0.72
45,Helvetica Now Text Condensed Black,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Black 900,Text,Condensed,Inter,0.0,0.15,0.58,0.85,0.45
46,Helvetica Now Text Condensed Black Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Black 900,Text,Condensed,Inter,0.0,0.15,0.58,0.85,0.45
47,Helvetica Now Text Expanded Black,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Black 900,Text,Expanded,Inter,0.0,0.15,0.58,0.85,0.72
48,Helvetica Now Text Expanded Black Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Black 900,Text,Expanded,Inter,0.0,0.15,0.58,0.85,0.72
49,Helvetica Now Display Thin,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Thin 100,Display,Normal,Inter,0.0,0.15,0.52,0.15,0.72
50,Helvetica Now Display Thin Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Thin 100,Display,Normal,Inter,0.0,0.15,0.52,0.15,0.72
51,Helvetica Now Display Condensed Thin,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Thin 100,Display,Condensed,Inter,0.0,0.15,0.52,0.15,0.45
